time,gFx,gFy,gFz,TgF
0.00444599,0.0620,0.0601,1.0406,1.044
0.007217448,0.0439,0.0527,1.0567,1.059
0.012693386,0.0488,0.0581,1.0655,1.068
0.016556406,0.0488,0.0620,1.0856,1.088
0.021276563,0.0547,0.0703,1.1056,1.109
0.02377974,0.0610,0.0747,1.1129,1.117
0.02861375,0.0728,0.0811,1.1300,1.135
0.033130365,0.0806,0.0840,1.1456,1.152
0.035561823,0.0801,0.0879,1.1534,1.160
0.03943349,0.0811,0.0903,1.1656,1.172
0.043169011,0.0869,0.0913,1.1896,1.196
0.046054219,0.0899,0.0884,1.2023,1.209
0.051160313,0.0952,0.0845,1.2194,1.226
0.053865365,0.0942,0.0772,1.2189,1.225
0.05643974,0.0942,0.0747,1.2208,1.227
0.060390573,0.0908,0.0654,1.2174,1.223
0.064134636,0.0908,0.0659,1.2101,1.215
0.067887448,0.0996,0.0620,1.2052,1.211
0.070862031,0.1065,0.0620,1.2042,1.211
0.074849375,0.1245,0.0649,1.1945,1.203
0.077347448,0.1284,0.0693,1.1822,1.191
0.079833906,0.1314,0.0767,1.1656,1.176
0.082248594,0.1275,0.0825,1.1451,1.155
0.085002031,0.1196,0.0879,1.1266,1.136
0.088622813,0.1089,0.0982,1.1100,1.120
0.092454479,0.1162,0.1104,1.0611,1.073
0.095586094,0.1695,0.1299,1.0094,1.032
0.099626354,0.1753,0.1651,0.9483,0.978
0.104606459,0.1587,0.1958,0.9225,0.956
0.107166823,0.1387,0.2139,0.9356,0.970
0.109730833,0.1123,0.2305,0.9693,1.003
0.112268802,0.0962,0.2461,1.0055,1.040
0.116533594,0.0996,0.2808,1.0460,1.088
0.119183177,0.0830,0.2969,1.0685,1.112
0.121671511,0.0850,0.3076,1.0909,1.137
0.124278333,0.1006,0.3145,1.1070,1.155
0.129211146,0.1060,0.3081,1.1476,1.193
0.133878542,0.1538,0.2637,1.1217,1.162
0.136272656,0.2056,0.2276,1.0597,1.103
0.138951927,0.1919,0.2090,1.0714,1.108
0.143681302,0.1338,0.1665,1.0426,1.064
0.146157136,0.1162,0.1504,1.0191,1.037
0.149104375,0.1001,0.1426,0.9913,1.007
0.151869219,0.0908,0.1343,0.9513,0.965
0.1543325,0.0879,0.1211,0.9054,0.918
0.158357136,0.0830,0.0918,0.7950,0.805
0.163329844,0.0464,0.0518,0.7017,0.705
0.165752761,0.0269,0.0283,0.6524,0.654
0.168240625,0.0078,0.0107,0.5933,0.593
0.171085677,-0.0073,0.0073,0.5518,0.552
0.175670261,-0.0488,-0.0073,0.6133,0.615
0.180642604,-0.1138,-0.0220,0.8824,0.890
0.185143594,-0.0606,0.0103,0.8018,0.804
0.188834583,-0.0308,0.0190,0.7305,0.731
0.19282125,0.0063,0.0063,0.6661,0.666
0.198119479,0.0103,-0.0088,0.6759,0.676
0.202435417,-0.0078,0.0230,0.7491,0.749
0.204827292,-0.0063,0.0606,0.7462,0.749
0.207856979,0.0083,0.0957,0.7291,0.735
0.212628906,0.0449,0.1538,0.6798,0.698
0.216898177,0.0977,0.2285,0.6666,0.711
0.219392188,0.1231,0.2657,0.6861,0.746
0.222031511,0.1670,0.2969,0.7105,0.788
0.224480208,0.2246,0.3218,0.7501,0.847
0.229298125,0.3516,0.3321,0.8233,0.955
0.231889271,0.4019,0.3228,0.8526,0.996
0.236327188,0.4351,0.2813,0.8243,0.974
0.23888099,0.4136,0.2598,0.7677,0.910
0.241390886,0.3682,0.2593,0.8048,0.922
0.246413177,0.2857,0.2950,0.8160,0.913
0.249028386,0.2515,0.3155,0.8131,0.908
0.251678073,0.2315,0.3286,0.8057,0.900
0.254276823,0.2217,0.3345,0.8018,0.897
0.256767813,0.2085,0.3335,0.8038,0.895
0.261211719,0.1587,0.2837,0.8184,0.881
0.26606599,0.1270,0.2359,0.8106,0.854
0.269496458,0.0581,0.1162,0.7882,0.799
0.273610261,0.0435,0.0190,0.7872,0.789
0.278004479,0.0762,-0.0337,0.8072,0.811
0.280943229,0.1040,-0.0391,0.8302,0.838
0.285401771,0.1695,-0.0259,0.8927,0.909
0.288451354,0.1968,-0.0083,0.9312,0.952
0.292943542,0.2632,0.0659,1.0021,1.038
0.295822136,0.2998,0.1152,1.0333,1.082
0.298798542,0.3365,0.1699,1.0616,1.127
0.302413854,0.4209,0.2974,1.1139,1.227
0.304952136,0.4893,0.3550,1.1266,1.279
0.307508802,0.5782,0.3907,1.1339,1.331
0.310010365,0.6959,0.4112,1.1490,1.405
0.312613594,0.7647,0.4200,1.1383,1.434
0.316861979,0.8805,0.4141,1.1246,1.487
0.319599896,0.9464,0.4024,1.0826,1.493
0.322593958,0.9664,0.4053,1.0182,1.461
0.327181094,1.0323,0.4019,1.0709,1.541
0.331058021,0.9347,0.3951,0.9855,1.414
0.335951302,0.6695,0.3863,0.9151,1.198
0.339548021,0.3409,0.3643,0.9186,1.045
0.344044635,0.1914,0.3160,0.9015,0.974
0.347820417,0.1787,0.3130,0.8873,0.958
0.351691771,0.2075,0.3301,0.8184,0.907
0.355901094,0.2837,0.3492,0.7725,0.894
0.358741875,0.3472,0.3496,0.7745,0.918
0.363952031,0.4517,0.2652,0.8326,0.984
0.368459167,0.4624,0.1983,1.0631,1.176
0.370892031,0.3863,0.1895,1.1979,1.273
0.375645313,0.2852,0.1885,1.2897,1.334
0.378311979,0.3189,0.1900,1.2628,1.316
0.380882865,0.3086,0.2022,1.2125,1.267
0.385552083,0.3213,0.2124,1.0953,1.161
0.388527083,0.3067,0.2193,1.0651,1.130
0.393030573,0.3360,0.2241,1.0143,1.092
0.395762604,0.3697,0.2373,0.9835,1.077
0.399912865,0.3960,0.3008,0.9054,1.033
0.405147292,0.3995,0.3291,0.8175,0.968
0.407675156,0.4209,0.3233,0.7721,0.937
0.412430521,0.4712,0.3389,0.6929,0.904
0.41489401,0.4888,0.3658,0.6700,0.906
0.417477552,0.5103,0.4019,0.6519,0.920
0.420905156,0.5367,0.4283,0.6441,0.941
0.424929844,0.5645,0.3912,0.6661,0.957
0.429959219,0.6075,0.3184,0.7613,1.025
0.434252135,0.5889,0.2906,0.8565,1.079
0.437862135,0.5694,0.3047,0.9044,1.111
0.441946354,0.5396,0.3384,0.9737,1.164
0.444529688,0.5323,0.3394,0.9903,1.174
0.449416563,0.5157,0.3267,1.0118,1.182
0.451891615,0.5186,0.3208,1.0255,1.193
0.457189583,0.5147,0.3076,1.0304,1.192
0.461461719,0.4805,0.2920,0.9957,1.144
0.464017708,0.4664,0.2871,0.9669,1.111
0.466500052,0.4551,0.2852,0.9293,1.073
0.469013594,0.4615,0.2891,0.8834,1.038
0.471480313,0.4600,0.2989,0.8272,0.993
0.476024531,0.4014,0.3282,0.7564,0.917
0.478761979,0.3843,0.3384,0.7261,0.889
0.482123906,0.3750,0.3433,0.6871,0.855
0.485906771,0.3814,0.3399,0.5909,0.781
0.488869479,0.3941,0.3257,0.5347,0.740
0.4933125,0.4087,0.2744,0.4732,0.683
0.495994635,0.4053,0.2378,0.4629,0.660
0.500785729,0.4136,0.2036,0.4385,0.636
0.505688177,0.3833,0.2305,0.3843,0.590
0.508444427,0.3594,0.2666,0.3604,0.575
0.513001042,0.3160,0.2901,0.3282,0.540
0.515477969,0.3150,0.2578,0.3203,0.518
0.518455469,0.3091,0.1812,0.3399,0.494
0.521126875,0.2398,0.1060,0.3741,0.457
0.52415276,0.1416,0.0523,0.4263,0.452
0.527609479,-0.0337,-0.0015,0.5250,0.526
0.530041198,-0.0942,-0.0122,0.5674,0.575
0.534849167,-0.1577,-0.0215,0.6490,0.668
0.537712292,-0.1675,-0.0200,0.6837,0.704
0.542105573,-0.1314,-0.0176,0.7022,0.715
0.547036042,-0.0625,-0.0117,0.6807,0.684
0.549792812,-0.0327,-0.0010,0.6646,0.665
0.554640573,-0.0230,0.0230,0.6299,0.631
0.559121667,-0.0317,0.0542,0.5567,0.560
0.561578958,-0.0278,0.0689,0.5059,0.511
0.564877031,-0.0225,0.0737,0.4449,0.451
0.56918349,-0.0054,0.0708,0.3213,0.329
0.575120208,0.0005,0.0566,0.2124,0.220
0.584126771,-0.0464,0.0317,0.1328,0.144
0.588511823,-0.1983,-0.0820,0.0381,0.218
0.591051823,-0.2237,-0.1138,0.0234,0.252
0.59599526,-0.2583,-0.1895,0.0078,0.320
0.599003229,-0.2735,-0.2193,0.0093,0.351
0.60318276,-0.2827,-0.2368,0.0156,0.369
0.608149792,-0.2276,-0.2227,0.0083,0.318
0.61298224,0.5142,-0.4180,0.0620,0.666
0.617760573,0.3448,-0.3218,0.1924,0.509
