time,gFx,gFy,gFz,TgF
5.18802E-4,0.0825,-0.0371,1.2418,1.245
0.004195677,0.0576,-0.0581,1.2321,1.235
0.006868282,0.0430,-0.0645,1.2218,1.224
0.009390625,0.0327,-0.0703,1.2072,1.210
0.014977761,0.0044,-0.0654,1.1720,1.174
0.019152552,-0.0249,-0.0469,1.1398,1.141
0.023879271,-0.0454,-0.0317,1.1256,1.127
0.026355052,-0.0537,-0.0210,1.1217,1.123
0.029459688,-0.0576,-0.0122,1.1202,1.122
0.033740313,-0.0498,0.0078,1.1085,1.110
0.038586094,-0.0459,0.0269,1.1041,1.105
0.043368334,-0.0249,0.0420,1.1056,1.107
0.046193646,0.0122,0.0532,1.1022,1.104
0.050802969,0.0332,0.0659,1.1251,1.128
0.053486979,0.0327,0.0625,1.1432,1.145
0.057182031,0.0313,0.0532,1.1549,1.157
0.060294219,0.0342,0.0200,1.1446,1.145
0.065542136,0.0264,-0.0361,1.0934,1.094
0.070196094,0.0352,-0.0571,1.0621,1.064
0.073232136,0.0225,-0.0464,1.0611,1.062
0.077823698,-0.0151,-0.0269,1.0514,1.052
0.082921511,-0.0498,-0.0054,1.0455,1.047
0.087482761,-0.0820,0.0117,1.0450,1.048
0.092358698,-0.1030,0.0190,1.0338,1.039
0.100326771,-0.1128,0.0220,1.0138,1.020
0.10476625,-0.1025,0.0244,1.0021,1.008
0.109304844,-0.0825,0.0239,1.0128,1.016
0.112069375,-0.0737,0.0142,1.0216,1.024
0.114761563,-0.0640,0.0024,1.0270,1.029
0.119123229,-0.0459,-0.0195,1.0397,1.041
0.12155125,-0.0405,-0.0293,1.0519,1.053
0.123984636,-0.0356,-0.0356,1.0655,1.067
0.126713594,-0.0332,-0.0371,1.0753,1.076
0.131420209,-0.0278,-0.0376,1.0836,1.085
0.133932865,-0.0264,-0.0327,1.0856,1.086
0.136376927,-0.0220,-0.0244,1.0856,1.086
0.13904474,-0.0181,-0.0171,1.0841,1.084
0.141565781,-0.0176,-0.0078,1.0753,1.075
0.145851927,-0.0103,0.0107,1.0592,1.059
0.149003073,-0.0127,0.0098,1.0480,1.048
0.153509636,-0.0166,0.0103,1.0255,1.026
0.157961823,-0.0200,0.0063,1.0138,1.014
0.161477604,-0.0249,0.0039,0.9908,0.991
0.165749948,-0.0405,-0.0054,0.9806,0.981
0.16845474,-0.0488,-0.0107,0.9840,0.985
0.173156406,-0.0669,-0.0156,0.9884,0.991
0.175748073,-0.0781,-0.0171,0.9923,0.996
0.180610521,-0.0977,-0.0132,0.9835,0.988
0.185470886,-0.1221,0.0098,0.9757,0.983
0.189999063,-0.1465,0.0356,0.9947,1.006
0.192540938,-0.1685,0.0806,1.0973,1.113
0.194988334,-0.1851,0.1270,1.3659,1.384
0.198103542,-0.2022,0.1738,1.7209,1.741
0.202257136,-0.1275,0.2686,1.5866,1.614
0.204793438,-0.0742,0.2837,1.3810,1.412
0.207777552,-0.0435,0.2725,1.2692,1.299
0.212348386,-0.0493,0.2422,1.1774,1.203
0.215194011,-0.0767,0.2373,1.1280,1.155
0.219491042,-0.1543,0.2476,1.0177,1.059
0.224864011,-0.2354,0.2500,0.8927,0.956
0.229236094,-0.3628,0.2569,0.8082,0.922
0.231749427,-0.4205,0.2637,0.7921,0.935
0.234371094,-0.4527,0.2617,0.7633,0.925
0.239349011,-0.4883,0.2779,0.7198,0.913
0.244121459,-0.4541,0.2969,0.6549,0.850
0.246556823,-0.4380,0.2852,0.6485,0.833
0.251387969,-0.4082,0.2593,0.6441,0.805
0.253903959,-0.4112,0.2510,0.6466,0.806
0.257661302,-0.4444,0.2539,0.6895,0.859
0.260970521,-0.5254,0.2710,0.8097,1.003
0.266048021,-0.5621,0.2852,0.8658,1.071
0.268525729,-0.5533,0.2852,0.8893,1.085
0.273351458,-0.5108,0.2852,1.0284,1.183
0.27586125,-0.4820,0.2940,1.1637,1.293
0.279726198,-0.4449,0.3081,1.2994,1.408
0.283226875,-0.3706,0.3272,1.4977,1.577
0.288003542,-0.3272,0.3369,1.6677,1.733
0.290582865,-0.3213,0.3409,1.7507,1.812
0.293158229,-0.3404,0.3467,1.8337,1.897
0.295592396,-0.3716,0.3594,1.8986,1.968
0.298677813,-0.3907,0.3741,1.9289,2.003
0.302672396,-0.3848,0.3667,1.9025,1.975
0.307491198,-0.3619,0.3579,1.8405,1.910
0.310558021,-0.3399,0.3614,1.8166,1.883
0.315329583,-0.2588,0.3736,1.7673,1.825
0.318440052,-0.2036,0.3736,1.7482,1.799
0.322245156,-0.0806,0.3492,1.7121,1.749
0.324681979,-0.0322,0.3208,1.7082,1.738
0.327334479,0.0039,0.2906,1.7160,1.740
0.332058802,0.0454,0.2359,1.7526,1.769
0.334614583,0.0571,0.2114,1.7741,1.788
0.337169271,0.0645,0.1841,1.7868,1.797
0.34044625,0.0713,0.1616,1.7829,1.792
0.344279844,0.0767,0.0874,1.7355,1.739
0.346869115,0.0855,0.0503,1.7087,1.712
0.351823958,0.1113,-0.0220,1.6520,1.656
0.3581975,0.1343,-0.0835,1.5602,1.568
0.361579011,0.1514,-0.1133,1.4269,1.439
0.366356667,0.1582,-0.1152,1.2858,1.301
0.368807761,0.1611,-0.1084,1.2164,1.232
0.371336927,0.1729,-0.0996,1.1520,1.169
0.373822761,0.1958,-0.0859,1.0934,1.114
0.378814219,0.2696,-0.0576,0.9991,1.036
0.38481125,0.3638,-0.0254,0.9215,0.991
0.387987969,0.4541,0.0039,0.8326,0.948
0.390522969,0.4957,0.0190,0.7862,0.930
0.393091198,0.5367,0.0361,0.7379,0.913
0.395654636,0.5782,0.0537,0.6885,0.901
0.398340208,0.6173,0.0742,0.6402,0.892
0.402771563,0.6807,0.1323,0.5381,0.878
0.405244375,0.7130,0.1729,0.4908,0.883
0.407857761,0.7418,0.2124,0.4468,0.892
0.410380729,0.7603,0.2481,0.4004,0.894
0.415090313,0.7735,0.2774,0.3472,0.892
0.417694375,0.8326,0.2867,0.2285,0.910
0.426980365,0.8531,0.2730,0.1660,0.911
0.429966563,0.7047,0.1587,0.0723,0.726
0.433509583,0.6417,0.1265,0.0557,0.656
0.437424427,0.5411,0.0659,0.0293,0.546
0.440549688,0.5079,0.0439,0.0239,0.510
0.444491094,0.4747,0.0093,-0.0230,0.475
0.446984167,0.4683,-0.0029,-0.0439,0.470
0.449666354,0.4595,-0.0117,-0.0615,0.464
0.452168073,0.4517,-0.0137,-0.0903,0.461
0.459134271,0.4165,-0.0146,-0.1235,0.435
0.463666615,0.3457,-0.0273,-0.1533,0.379
0.466544583,0.3233,-0.0386,-0.1504,0.359
0.471611771,0.2935,-0.0767,-0.1358,0.332
0.476253958,0.2910,-0.1138,-0.1255,0.337
0.478893021,0.2984,-0.1314,-0.1196,0.347
0.481732917,0.3028,-0.1416,-0.1060,0.351
0.486112813,0.3135,-0.1387,-0.0493,0.346
0.48866875,0.3213,-0.1299,-0.0181,0.347
0.493444844,0.3413,-0.1001,0.0366,0.358
0.496001719,0.3492,-0.0791,0.0518,0.362
0.499202865,0.3511,-0.0498,0.0664,0.361
0.503101719,0.3457,0.0190,0.0576,0.351
0.506059948,0.3360,0.0527,0.0444,0.343
0.511453646,0.3213,0.0977,-0.0024,0.336
0.516008229,0.3223,0.0977,-0.0532,0.341
0.520899063,0.3267,0.0806,-0.1011,0.351
0.524522813,0.3306,0.0732,-0.1162,0.358
0.5308325,0.3374,0.0698,-0.1211,0.365
0.534473333,0.3467,0.0723,-0.0874,0.365
0.537717344,0.3780,0.0654,-0.0337,0.385
0.540269063,0.3916,0.0606,0.0024,0.396
0.544440781,0.3829,0.0566,0.0996,0.400
0.547146198,0.3575,0.0508,0.1519,0.392
0.55201375,0.2676,0.0410,0.2515,0.370
0.554499375,0.2144,0.0469,0.2984,0.370
0.55762901,0.1724,0.0562,0.3413,0.387
0.561778073,0.1626,0.0864,0.4175,0.456
0.566776979,0.2281,0.1387,0.4917,0.560
0.571467656,0.3086,0.2071,0.6241,0.726
0.573897031,0.3653,0.2554,0.7594,0.880
0.576412188,0.4205,0.2964,0.9093,1.045
0.579114635,0.5088,0.2993,0.9718,1.137
0.582205625,0.5479,0.2886,0.9337,1.120
0.586361979,0.5582,0.3067,0.7862,1.012
0.592570052,0.5875,0.4698,0.7760,1.081
0.596107865,0.6270,0.6915,0.8170,1.240
0.59885776,0.7169,0.7852,0.8643,1.370
0.60337526,0.6905,0.9137,0.9337,1.478
0.605908125,0.6553,0.9322,1.0030,1.518
0.608380052,0.6573,0.9195,0.9962,1.507
0.613166094,0.5054,0.8668,0.9054,1.351
0.616097917,0.4429,0.8126,0.8497,1.256
0.620382188,0.3960,0.6700,0.7760,1.099
0.623160677,0.4190,0.5860,0.7769,1.060
0.626106615,0.4590,0.5049,0.8160,1.064
0.630028854,0.4068,0.3550,0.9498,1.093
0.6328875,0.3423,0.2969,1.0636,1.156
0.63531651,0.2847,0.2608,1.2067,1.267
0.637769792,0.2227,0.2559,1.3112,1.354
0.640872656,0.1885,0.2832,1.3600,1.402
0.645024896,0.2144,0.3921,1.3483,1.420
0.64745901,0.2740,0.4522,1.3200,1.422
0.652383542,0.4082,0.5635,1.2667,1.445
0.654877552,0.3829,0.6119,1.2389,1.434
0.659022917,0.4170,0.6382,1.2321,1.449
0.661823646,0.5528,0.6959,1.2521,1.535
0.666164688,0.5938,0.7174,1.2667,1.572
0.674372656,0.6632,0.7027,1.2994,1.619
0.676869844,0.5928,0.6309,1.3522,1.606
0.679606042,0.5157,0.6109,1.3620,1.579
0.682091771,0.4537,0.5713,1.3595,1.543
0.684517969,0.3985,0.5108,1.3493,1.497
0.689263125,0.2427,0.3589,1.3566,1.424
