time,gFx,gFy,gFz,TgF
0.004224375,-0.1074,0.9815,0.0381,0.988
0.00809375,-0.1177,0.9786,0.0034,0.986
0.013878281,-0.1289,0.9752,-0.0278,0.984
0.017563177,-0.1318,0.9757,-0.0454,0.986
0.020026875,-0.1367,0.9772,-0.0518,0.988
0.022478125,-0.1387,0.9796,-0.0566,0.991
0.024903021,-0.1362,0.9791,-0.0581,0.990
0.027390885,-0.1372,0.9820,-0.0591,0.993
0.03016849,-0.1367,0.9796,-0.0596,0.991
0.034416354,-0.1289,0.9820,-0.0576,0.992
0.039611198,-0.1211,0.9864,-0.0537,0.995
0.042210729,-0.1157,0.9874,-0.0498,0.995
0.04794125,-0.1113,0.9903,-0.0420,0.997
0.052125469,-0.1094,0.9981,-0.0308,1.005
0.055245417,-0.1060,0.9972,-0.0230,1.003
0.059259896,-0.1050,0.9928,-0.0098,0.998
0.061667604,-0.1069,0.9923,-0.0005,0.998
0.064130573,-0.1109,0.9903,0.0078,0.997
0.066635677,-0.1113,0.9884,0.0161,0.995
0.072232656,-0.1172,0.9840,0.0288,0.991
0.076377083,-0.1138,0.9864,0.0347,0.994
0.081339896,-0.1133,0.9918,0.0303,0.999
0.086095417,-0.1157,0.9942,0.0195,1.001
0.088637135,-0.1148,0.9923,0.0171,0.999
0.091066562,-0.1138,0.9908,0.0122,0.997
0.093534635,-0.1148,0.9869,0.0068,0.994
0.097007083,-0.1143,0.9850,0.0010,0.992
0.100923906,-0.1172,0.9791,-0.0083,0.986
0.10564276,-0.1167,0.9728,-0.0195,0.980
0.108389271,-0.1148,0.9703,-0.0225,0.977
0.113853698,-0.1172,0.9703,-0.0273,0.978
0.117725052,-0.1162,0.9747,-0.0273,0.982
0.122987864,-0.1133,0.9781,-0.0278,0.985
0.125394948,-0.1133,0.9806,-0.0293,0.988
0.130354427,-0.1079,0.9903,-0.0352,0.997
0.134999948,-0.0986,0.9986,-0.0410,1.004
0.137415677,-0.0972,1.0016,-0.0386,1.007
0.140003489,-0.1006,1.0025,-0.0352,1.008
0.14250526,-0.1030,1.0021,-0.0317,1.008
0.1482025,-0.1074,1.0001,-0.0313,1.006
0.152165573,-0.1094,1.0118,-0.0278,1.018
0.155455052,-0.1133,1.0118,-0.0210,1.018
0.159613854,-0.1094,1.0162,-0.0195,1.022
0.164444062,-0.1074,1.0318,-0.0273,1.038
0.166905156,-0.1128,1.0328,-0.0225,1.039
0.169473906,-0.1157,1.0323,-0.0151,1.039
0.172279844,-0.1182,1.0333,-0.0181,1.040
0.176616458,-0.1206,1.0333,-0.0259,1.041
0.179075885,-0.1211,1.0299,-0.0264,1.037
0.181507552,-0.1192,1.0201,-0.0269,1.027
0.184106719,-0.1206,1.0069,-0.0234,1.014
0.189128958,-0.1206,0.9889,-0.0186,0.996
0.193463906,-0.1279,0.9728,-0.0210,0.981
0.196402864,-0.1338,0.9669,-0.0171,0.976
0.200914896,-0.1372,0.9591,-0.0078,0.969
0.203409114,-0.1387,0.9547,-0.0024,0.965
0.206060573,-0.1397,0.9508,0.0039,0.961
0.20854901,-0.1411,0.9454,0.0161,0.956
0.213572344,-0.1416,0.9376,0.0469,0.949
0.21806526,-0.1348,0.9459,0.0537,0.957
0.220520469,-0.1353,0.9449,0.0645,0.957
0.22306776,-0.1328,0.9439,0.0772,0.956
0.2255425,-0.1279,0.9464,0.0864,0.959
0.227973646,-0.1216,0.9425,0.0918,0.955
0.230411354,-0.1172,0.9410,0.0996,0.954
0.235394844,-0.1055,0.9347,0.1255,0.949
0.238085573,-0.1011,0.9278,0.1431,0.944
0.242783177,-0.0889,0.9225,0.1709,0.942
0.248599896,-0.0747,0.9195,0.2036,0.945
0.252643542,-0.0591,0.9186,0.2412,0.952
0.255658073,-0.0523,0.9176,0.2583,0.955
0.260502135,-0.0396,0.9195,0.2920,0.966
0.26464526,-0.0264,0.9239,0.3233,0.979
0.267261302,-0.0234,0.9283,0.3365,0.988
0.272236823,-0.0215,0.9327,0.3565,0.999
0.276170625,-0.0249,0.9366,0.3623,1.005
0.279822396,-0.0342,0.9391,0.3736,1.011
0.284566614,-0.0439,0.9371,0.3780,1.011
0.287214896,-0.0635,0.9420,0.3838,1.019
0.291478906,-0.0874,0.9469,0.3833,1.025
0.297369271,-0.1157,0.9493,0.3887,1.032
0.30115776,-0.1509,0.9361,0.3946,1.027
0.306884739,-0.1787,0.9303,0.4185,1.036
0.310904167,-0.1729,0.9435,0.4429,1.056
0.313851458,-0.1675,0.9488,0.4454,1.061
