time,gFx,gFy,gFz,TgF
7.06094E-4,0.0103,0.4234,0.8648,0.963
0.007509427,0.0083,0.4263,0.8678,0.967
0.01033625,0.0156,0.4307,0.8829,0.982
0.013120886,0.0205,0.4302,0.8897,0.989
0.017848698,0.0264,0.4341,0.9098,1.008
0.021047292,0.0293,0.4366,0.9195,1.018
0.025200833,0.0317,0.4380,0.9352,1.033
0.030058229,0.0347,0.4415,0.9488,1.047
0.034814115,0.0400,0.4400,0.9630,1.059
0.038098646,0.0444,0.4395,0.9703,1.066
0.042210833,0.0508,0.4415,0.9811,1.077
0.044834271,0.0523,0.4371,0.9864,1.080
0.049785417,0.0552,0.4380,0.9957,1.089
0.055167031,0.0542,0.4371,0.9952,1.088
0.059352813,0.0547,0.4366,0.9903,1.084
0.064342031,0.0542,0.4366,0.9859,1.080
0.066775677,0.0518,0.4351,0.9708,1.065
0.069347292,0.0508,0.4356,0.9625,1.058
0.071785156,0.0513,0.4371,0.9537,1.050
0.076776458,0.0469,0.4390,0.9327,1.032
0.079318958,0.0435,0.4390,0.9205,1.021
0.083006615,0.0415,0.4356,0.9098,1.010
0.086333073,0.0400,0.4385,0.8902,0.993
0.088983073,0.0352,0.4405,0.8809,0.986
0.091469167,0.0356,0.4405,0.8726,0.978
0.096442969,0.0332,0.4415,0.8629,0.970
0.101172552,0.0308,0.4415,0.8604,0.968
0.104873386,0.0303,0.4429,0.8629,0.970
0.108929844,0.0371,0.4439,0.8663,0.974
0.11352125,0.0405,0.4410,0.8761,0.982
0.118159896,0.0386,0.4346,0.8902,0.991
0.122546198,0.0386,0.4331,0.8961,0.996
0.125530833,0.0400,0.4331,0.9039,1.003
0.127928698,0.0430,0.4351,0.9078,1.008
0.132746302,0.0498,0.4375,0.9146,1.015
0.137951094,0.0552,0.4415,0.9176,1.020
0.142387917,0.0532,0.4454,0.9190,1.023
0.144929115,0.0527,0.4429,0.9225,1.025
0.149877656,0.0532,0.4429,0.9254,1.027
0.1545525,0.0493,0.4400,0.9254,1.026
0.157129844,0.0469,0.4385,0.9249,1.025
0.159540938,0.0439,0.4395,0.9215,1.022
0.163260261,0.0439,0.4385,0.9190,1.019
0.166865677,0.0454,0.4385,0.9151,1.016
0.169319271,0.0444,0.4375,0.9151,1.015
0.172136979,0.0459,0.4356,0.9127,1.012
0.176905729,0.0391,0.4312,0.9146,1.012
0.180000156,0.0366,0.4288,0.9156,1.012
0.184149219,0.0332,0.4263,0.9171,1.012
0.189545677,0.0298,0.4239,0.9215,1.015
0.193433229,0.0308,0.4273,0.9200,1.015
0.196093333,0.0327,0.4263,0.9190,1.014
0.198561302,0.0332,0.4253,0.9161,1.011
0.204716302,0.0322,0.4288,0.9146,1.011
0.208613646,0.0342,0.4331,0.9117,1.010
0.214020729,0.0386,0.4366,0.9142,1.014
0.218622292,0.0405,0.4366,0.9156,1.015
0.221845729,0.0430,0.4385,0.9186,1.019
0.225803854,0.0488,0.4385,0.9239,1.024
0.230911042,0.0483,0.4380,0.9298,1.029
0.235302656,0.0493,0.4375,0.9312,1.030
0.238268646,0.0483,0.4346,0.9303,1.028
0.240756927,0.0464,0.4331,0.9269,1.024
0.243176875,0.0459,0.4331,0.9215,1.019
0.246371823,0.0439,0.4327,0.9181,1.016
0.250313698,0.0469,0.4297,0.9137,1.011
0.255053542,0.0527,0.4341,0.9122,1.012
0.25756026,0.0566,0.4356,0.9132,1.013
0.260156875,0.0581,0.4351,0.9161,1.016
0.26480125,0.0547,0.4371,0.9161,1.016
0.267254688,0.0469,0.4336,0.9132,1.012
0.269723802,0.0459,0.4302,0.9107,1.008
0.272323802,0.0439,0.4263,0.9083,1.004
0.277347396,0.0400,0.4234,0.9024,0.998
0.280004479,0.0366,0.4239,0.9000,0.995
0.282853385,0.0298,0.4209,0.8966,0.991
0.288397708,0.0308,0.4224,0.8951,0.990
0.291720625,0.0396,0.4253,0.8961,0.993
0.296791823,0.0469,0.4288,0.9024,1.000
0.30143401,0.0596,0.4371,0.9102,1.011
0.305111667,0.0649,0.4410,0.9137,1.017
0.309134063,-0.0181,0.4844,0.9518,1.068
0.311762396,-0.0327,0.4878,0.9552,1.073
0.31609599,0.0293,0.4717,0.9698,1.079
0.318816719,0.0493,0.4463,0.9874,1.085
0.32163901,0.0557,0.4248,1.0069,1.094
0.326021198,0.0518,0.3980,1.0524,1.126
0.330918594,0.0664,0.3892,1.0924,1.162
0.333456719,0.0601,0.3863,1.1002,1.168
0.336596615,0.0405,0.3785,1.0968,1.161
0.340658385,0.0088,0.3716,1.0602,1.123
0.343172552,0.0005,0.3750,1.0353,1.101
0.346377865,0.0024,0.3824,1.0074,1.078
0.351062344,0.0103,0.3921,0.9815,1.057
0.355114167,0.0483,0.4302,0.9112,1.009
0.357528021,0.0859,0.4346,0.8849,0.990
0.360330729,0.0786,0.4336,0.8805,0.985
0.365259115,0.0620,0.4292,0.8790,0.980
0.369976406,0.0239,0.4097,0.8780,0.969
0.372517656,0.0195,0.4097,0.8766,0.968
0.374952448,0.0234,0.4112,0.8707,0.963
0.380222292,0.0356,0.4165,0.8551,0.952
