time,gFx,gFy,gFz,TgF
8.80312E-4,0.0918,0.1021,0.9464,0.956
0.00409677,0.0864,0.1035,0.9571,0.967
0.008517135,0.0781,0.1094,0.9713,0.981
0.014056406,0.0801,0.1113,0.9762,0.986
0.018605052,0.0757,0.1201,0.9859,0.996
0.022811718,0.0801,0.1211,0.9928,1.003
0.025395885,0.0820,0.1221,0.9952,1.006
0.028284791,0.0791,0.1265,0.9986,1.010
0.032559166,0.0801,0.1235,1.0094,1.020
0.035071198,0.0796,0.1255,1.0172,1.028
0.039848177,0.0728,0.1270,1.0401,1.050
0.043812864,0.0684,0.1235,1.0543,1.064
0.047321302,0.0620,0.1206,1.0929,1.101
0.052224323,0.0562,0.1157,1.1251,1.132
0.056853177,0.0518,0.1050,1.1515,1.157
0.059787656,0.0488,0.0952,1.1627,1.168
0.065354114,0.0479,0.0864,1.1715,1.176
0.069942448,0.0508,0.0562,1.1827,1.185
0.072374791,0.0513,0.0488,1.1842,1.186
0.077247395,0.0464,0.0454,1.1954,1.197
0.081475989,0.0503,0.0586,1.1993,1.202
0.084061718,0.0317,0.0640,1.1832,1.185
0.086902291,0.0259,0.0757,1.1788,1.182
0.091467968,0.0215,0.0977,1.1613,1.166
0.093954218,0.0166,0.1089,1.1442,1.149
0.098558645,0.0234,0.1328,1.0983,1.107
0.1010575,0.0347,0.1445,1.0714,1.082
0.103594062,0.0425,0.1543,1.0460,1.058
0.106249479,0.0518,0.1616,1.0206,1.035
0.111013906,0.0693,0.1836,0.9996,1.019
0.11377302,0.0747,0.1934,0.9996,1.021
0.116280625,0.0742,0.2017,1.0045,1.027
0.11899052,0.0732,0.2105,1.0211,1.045
0.123140312,0.0899,0.2281,1.0597,1.088
0.125674687,0.1299,0.2393,1.0709,1.105
0.128166041,0.1406,0.2530,1.0987,1.136
0.132703802,0.1304,0.2705,1.1617,1.200
0.135729218,0.1172,0.2705,1.1779,1.214
0.140814583,0.1069,0.2691,1.1910,1.226
0.145658177,0.1206,0.2617,1.1500,1.186
0.149979687,0.1499,0.2666,1.0514,1.095
0.152842864,0.1587,0.2725,1.0045,1.053
0.157447031,0.1778,0.2915,0.8966,0.959
0.16186052,0.1875,0.3003,0.8370,0.909
0.165489166,0.1826,0.3096,0.7911,0.869
0.169668541,0.1284,0.3350,0.7672,0.847
0.174766458,0.1104,0.3330,0.7686,0.845
0.177586718,0.0972,0.3208,0.7725,0.842
0.181696041,0.0591,0.2867,0.7955,0.848
0.184240885,0.0415,0.2671,0.8194,0.863
0.18669151,0.0239,0.2486,0.8375,0.874
0.191383177,-0.0068,0.2031,0.8702,0.894
0.194179531,-0.0313,0.1865,0.9015,0.921
0.198733802,-0.0566,0.1480,0.9547,0.968
