time,gFx,gFy,gFz,TgF
0.00104349,0.0181,-0.0161,1.3248,1.325
0.006543542,0.0015,-0.0122,1.3331,1.333
0.010611771,-0.0024,-0.0244,1.3244,1.325
0.013626042,0.0005,-0.0293,1.3180,1.318
0.017789323,0.0142,-0.0332,1.2985,1.299
0.02030125,0.0156,-0.0391,1.2892,1.290
0.022814427,0.0161,-0.0464,1.2824,1.283
0.02521651,0.0107,-0.0523,1.2741,1.275
0.028208854,0.0107,-0.0606,1.2677,1.269
0.032265677,0.0039,-0.0835,1.2599,1.263
0.035229844,-0.0015,-0.0942,1.2599,1.263
0.03768,-0.0068,-0.1030,1.2599,1.264
0.042350417,-0.0225,-0.1143,1.2628,1.268
0.045209792,-0.0356,-0.1162,1.2672,1.273
0.049830677,-0.0493,-0.1162,1.2780,1.284
0.052366354,-0.0566,-0.1152,1.2828,1.289
0.055353021,-0.0649,-0.1089,1.2946,1.301
0.059661458,-0.0767,-0.1011,1.3112,1.317
0.062205885,-0.0752,-0.0952,1.3151,1.321
0.066849896,-0.0093,-0.0454,1.3063,1.307
0.071858125,0.0112,-0.0308,1.2975,1.298
0.076544427,0.0088,-0.0200,1.3224,1.323
0.079121719,0.0205,-0.0142,1.3351,1.335
0.081684896,0.0269,-0.0044,1.3507,1.351
0.084343594,0.0376,0.0054,1.3624,1.363
0.087456094,0.0532,0.0137,1.3756,1.377
0.091397813,0.0928,0.0249,1.4000,1.403
0.094049167,0.1109,0.0288,1.4103,1.415
0.098865365,0.1470,0.0259,1.4113,1.419
0.103947917,0.1856,0.0200,1.3830,1.395
0.108654583,0.2168,-0.0020,1.3253,1.343
0.113095052,0.2359,-0.0215,1.2179,1.241
0.115771094,0.2417,-0.0303,1.1451,1.171
0.121086458,0.2715,-0.0234,0.9913,1.028
0.125492083,0.2827,-0.0078,0.8160,0.864
0.128507135,0.2725,-0.0024,0.7374,0.786
0.13292875,0.2207,0.0117,0.6114,0.650
0.137658646,0.1426,0.0210,0.5020,0.522
0.140095365,0.1050,0.0264,0.4624,0.475
0.142628281,0.0547,0.0273,0.4346,0.439
0.145394323,0.0049,0.0283,0.4185,0.419
0.149749115,-0.1065,0.0342,0.4356,0.450
0.153659219,-0.1695,0.0376,0.4571,0.489
0.157376667,-0.2886,0.0410,0.4937,0.573
0.1608475,-0.3394,0.0444,0.5108,0.615
0.164793854,-0.4312,0.0606,0.6016,0.743
0.170509323,-0.5064,0.1030,1.0084,1.133
0.174526354,-0.4112,0.0991,1.1051,1.183
0.179388958,-0.2237,0.0474,0.8101,0.842
0.182093021,-0.1558,0.0322,0.7520,0.769
0.187169062,-0.0835,0.0171,0.8136,0.818
0.191405937,-0.0830,0.0034,0.8971,0.901
0.193907552,-0.0825,0.0215,0.9210,0.925
0.196549844,-0.0859,0.0332,0.9376,0.942
0.201360677,-0.0732,0.0523,0.9229,0.927
0.203873958,-0.0708,0.0669,0.9005,0.906
0.206624115,-0.0772,0.0923,0.8683,0.877
0.213720937,-0.1265,0.1494,0.8443,0.867
0.218615573,-0.2281,0.2852,0.8443,0.920
0.221058854,-0.2383,0.3199,0.8424,0.932
0.226000052,-0.2266,0.3531,0.8072,0.910
0.229087187,-0.2119,0.3399,0.7686,0.867
0.233146094,-0.1836,0.2827,0.7105,0.786
0.238227187,-0.1480,0.2193,0.7252,0.772
0.240781146,-0.1133,0.1841,0.7413,0.772
0.246125521,-0.0459,0.1333,0.7730,0.786
0.250344375,0.0171,0.1133,0.6954,0.705
0.254135573,0.0176,0.1201,0.6934,0.704
0.257846302,-0.0171,0.1577,0.6861,0.704
0.262669896,-0.0220,0.1978,0.6641,0.693
0.267308177,-0.0303,0.2222,0.6744,0.711
0.270940521,-0.0313,0.2241,0.6964,0.732
0.274607656,-0.0513,0.2217,0.8321,0.863
0.277151927,-0.0508,0.2124,0.9024,0.928
0.279813698,-0.0488,0.1992,0.9728,0.994
0.284636719,-0.0396,0.1704,1.0719,1.086
0.287336094,-0.0498,0.1533,1.1320,1.143
0.290007396,-0.0703,0.1465,1.2120,1.223
0.294240885,-0.1382,0.1128,1.3327,1.345
0.296830052,-0.1343,0.0982,1.3131,1.324
0.299405417,-0.0796,0.0957,1.2658,1.272
0.304147708,0.0596,0.0947,1.2404,1.245
0.306667708,0.1182,0.0991,1.2413,1.251
0.313898542,0.2061,0.1196,1.2042,1.228
0.316972812,0.2500,0.1445,1.1583,1.194
0.321099583,0.2295,0.1802,1.0944,1.133
0.32353776,0.2051,0.1973,1.0499,1.088
0.326110625,0.1797,0.2149,1.0074,1.046
0.328817239,0.1445,0.2320,0.9732,1.011
0.331370677,0.0947,0.2451,0.9439,0.980
0.33582026,-0.0322,0.2603,0.9322,0.968
0.338593489,-0.0899,0.2671,0.9439,0.985
0.343163542,-0.1343,0.2783,0.9303,0.980
0.346000312,-0.1226,0.2798,0.9083,0.958
0.350251302,-0.0923,0.2837,0.8678,0.918
0.352745937,-0.0654,0.2813,0.8424,0.890
0.355512864,-0.0293,0.2842,0.8194,0.868
0.357949687,0.0093,0.2886,0.7930,0.844
0.360365469,0.0464,0.2964,0.7711,0.827
0.363343542,0.0791,0.3047,0.7530,0.816
0.368101094,0.1411,0.3316,0.7178,0.803
0.370802239,0.1709,0.3384,0.7012,0.797
0.375102187,0.2046,0.3496,0.6885,0.799
0.377600052,0.2036,0.3448,0.6885,0.797
0.382379583,0.1817,0.3135,0.7017,0.790
0.387468385,0.1143,0.2534,0.7628,0.812
0.392218385,0.0664,0.1939,0.8346,0.859
0.397060156,0.0918,0.1773,0.9083,0.930
0.401905677,0.1646,0.2056,0.9674,1.003
0.407037135,0.2598,0.2554,1.0021,1.066
0.413649375,0.3360,0.3047,1.0221,1.118
0.416669167,0.3736,0.3413,1.0148,1.134
0.421616979,0.3614,0.3677,1.0196,1.143
0.424398646,0.3433,0.3721,1.0289,1.147
0.429232031,0.3321,0.3697,1.0162,1.131
0.433439948,0.3208,0.3369,0.9708,1.077
0.436086354,0.3125,0.3076,0.9449,1.042
0.438541198,0.3081,0.2749,0.9146,1.004
0.440976354,0.3013,0.2383,0.8878,0.967
0.443415469,0.2837,0.2051,0.8697,0.938
0.446160833,0.2613,0.1743,0.8526,0.909
0.451088385,0.2364,0.1260,0.8243,0.867
0.454213542,0.2178,0.1162,0.8238,0.860
0.458531875,0.1787,0.1118,0.8326,0.859
0.463576927,0.1172,0.1353,0.8668,0.885
0.468420885,0.0532,0.1846,0.9142,0.934
0.471717239,0.0498,0.2134,0.9225,0.948
0.476059114,0.0996,0.2700,0.9142,0.958
0.48072776,0.2105,0.3350,0.8546,0.942
0.485475625,0.3291,0.3619,0.7618,0.905
0.489463958,0.3897,0.3604,0.7711,0.936
0.492651042,0.4644,0.3321,0.8243,1.003
0.495904323,0.4942,0.3037,0.8507,1.030
0.500380156,0.5225,0.2574,0.8541,1.034
0.506059896,0.5587,0.1875,0.8609,1.043
0.509734271,0.4815,0.2222,0.8614,1.012
0.513891094,0.4400,0.2471,0.8634,1.000
0.516926614,0.3496,0.3101,0.9054,1.019
0.521487917,0.2295,0.3765,0.9586,1.055
0.524062552,0.2046,0.3799,0.9776,1.069
0.529379114,0.2251,0.3394,0.9923,1.073
0.533885625,0.2344,0.2456,0.9459,1.005
0.538944114,0.2725,0.1109,0.9356,0.981
0.54385401,0.2437,0.0625,0.9605,0.993
0.54648125,0.2578,0.0806,0.9845,1.021
0.550830677,0.2910,0.1826,0.9728,1.032
0.555179271,0.3120,0.2461,0.9493,1.029
0.55854026,0.3755,0.3448,0.8790,1.016
0.561009844,0.3814,0.3838,0.8595,1.016
0.563532969,0.3638,0.4136,0.8526,1.015
0.568311823,0.2876,0.4078,0.8902,1.021
0.571958229,0.3208,0.3609,0.8907,1.013
0.575828854,0.3736,0.2276,0.9161,1.015
0.578875312,0.3892,0.1826,0.9474,1.040
0.581377187,0.3960,0.1621,0.9703,1.060
0.585569531,0.4014,0.1719,0.9781,1.071
0.588348906,0.3243,0.2007,0.9576,1.031
0.592770781,0.2969,0.1861,0.9522,1.015
0.596726719,0.3330,0.1489,0.9571,1.024
0.601511146,0.3692,0.1084,0.9571,1.032
0.605713281,0.3550,0.1328,0.9752,1.046
0.609850104,0.3399,0.2031,0.9356,1.016
0.614012448,0.3526,0.2427,0.8761,0.975
0.6170425,0.3560,0.2984,0.7364,0.871
0.622033281,0.4258,0.2915,0.7247,0.890
0.626682604,0.4600,0.2412,0.8233,0.973
0.630516458,0.4234,0.2334,0.8858,1.009
0.634136979,0.3453,0.2451,0.9435,1.034
0.636565885,0.3531,0.2461,0.9410,1.035
0.641695573,0.3999,0.2383,0.9386,1.048
0.646490364,0.3960,0.2261,0.9435,1.048
0.648767916,0.3902,0.2232,0.9347,1.037
0.651531719,0.3882,0.2310,0.9166,1.022
0.654643854,0.3892,0.2495,0.8936,1.006
0.658555781,0.3951,0.2730,0.8385,0.966
0.661171458,0.4092,0.2593,0.8263,0.958
0.663740521,0.4288,0.2354,0.8297,0.963
0.668264739,0.4449,0.2139,0.8629,0.994
0.671224844,0.4424,0.2119,0.8805,1.008
0.67577875,0.4473,0.2149,0.9029,1.030
0.680843437,0.4698,0.2261,0.9005,1.041
0.683256146,0.4800,0.2364,0.8932,1.041
0.687820416,0.4952,0.2754,0.8609,1.031
0.690299844,0.5079,0.2920,0.8394,1.024
0.692737291,0.5225,0.3106,0.8116,1.014
0.696623854,0.5411,0.3238,0.7804,1.003
0.700147708,0.5831,0.3184,0.7032,0.967
0.705004791,0.6153,0.2554,0.6544,0.934
0.707422604,0.6119,0.2110,0.6461,0.914
0.713661354,0.5870,0.1318,0.6773,0.906
0.717671354,0.5430,0.0864,0.7266,0.911
0.720638802,0.5235,0.0903,0.7471,0.917
0.724702604,0.5015,0.1021,0.7506,0.908
0.729702135,0.4698,0.1265,0.7515,0.895
0.732603437,0.4385,0.1338,0.7506,0.880
0.737735208,0.4527,0.1104,0.7511,0.884
0.741899531,0.3975,0.0806,0.7642,0.865
0.746614375,0.3116,0.0571,0.7779,0.840
0.7511725,0.2354,0.0347,0.7701,0.806
0.754736979,0.2114,0.0234,0.7598,0.789
0.757384218,0.1924,0.0210,0.7481,0.773
0.76112901,0.1997,0.0176,0.7266,0.754
0.76405,0.2300,0.0234,0.7261,0.762
0.768748021,0.3389,0.0996,0.7564,0.835
0.771404375,0.3975,0.1377,0.7462,0.857
0.775874427,0.4664,0.1670,0.7130,0.868
0.779629843,0.4825,0.1616,0.7008,0.866
0.783405,0.4971,0.1485,0.6842,0.859
0.785832812,0.5064,0.1470,0.6602,0.845
0.7904175,0.5132,0.1851,0.5948,0.807
0.793481562,0.5435,0.2007,0.5694,0.812
0.796220208,0.5977,0.2266,0.5333,0.832
0.800525729,0.6304,0.2476,0.4878,0.835
0.802942708,0.6173,0.2266,0.4815,0.815
0.805393437,0.5884,0.1939,0.4878,0.789
0.807826979,0.5557,0.1509,0.5040,0.765
0.814199791,0.4371,0.0674,0.5425,0.700
0.817891823,0.3272,-0.0122,0.5630,0.651
0.822641354,0.2559,-0.0713,0.5596,0.619
0.827104896,0.2525,-0.1069,0.5157,0.584
0.829834635,0.2642,-0.1138,0.4874,0.566
0.834442239,0.3037,-0.1138,0.4317,0.540
