time,gFx,gFy,gFz,TgF
5.76094E-4,-0.0977,-0.1734,1.2018,1.218
0.006082031,-0.1123,-0.1870,1.2335,1.253
0.010386979,-0.1226,-0.2022,1.2785,1.300
0.014434531,-0.1240,-0.2046,1.2960,1.318
0.017510573,-0.1201,-0.1963,1.3258,1.346
0.020158073,-0.1162,-0.2012,1.3346,1.355
0.023705313,-0.1148,-0.2114,1.3439,1.365
0.027204063,-0.1226,-0.2354,1.3537,1.379
0.029748854,-0.1221,-0.2539,1.3537,1.383
0.032235521,-0.1235,-0.2691,1.3468,1.379
0.036677604,-0.1226,-0.2920,1.3322,1.369
0.0399925,-0.1235,-0.3003,1.3292,1.368
0.044042083,-0.1157,-0.3057,1.3258,1.366
0.046921563,-0.1109,-0.3013,1.3200,1.358
0.051890365,-0.0991,-0.2842,1.3131,1.347
0.054787083,-0.0957,-0.2705,1.3053,1.336
0.059366563,-0.0938,-0.2451,1.2916,1.318
0.064098021,-0.0850,-0.2290,1.2760,1.299
0.068921458,-0.0957,-0.2661,1.2174,1.250
0.071727656,-0.1045,-0.2720,1.1993,1.234
0.075933802,-0.1187,-0.2647,1.1656,1.201
0.078807761,-0.1240,-0.2622,1.1481,1.184
0.081672865,-0.1289,-0.2461,1.1363,1.170
0.085988854,-0.1382,-0.2017,1.1266,1.153
0.088958281,-0.1343,-0.1865,1.1129,1.136
0.093287969,-0.0371,-0.1900,1.0524,1.070
0.096577396,-0.0400,-0.1690,1.0543,1.069
0.100727865,-0.0571,-0.1143,1.0782,1.086
0.103826771,-0.0645,-0.0918,1.0846,1.090
0.106333438,-0.0684,-0.0752,1.0880,1.093
0.110486927,-0.0649,-0.0396,1.1124,1.115
0.114273854,-0.0586,-0.0200,1.1290,1.131
0.117587552,-0.0405,0.0054,1.1525,1.153
0.120094479,-0.0317,0.0112,1.1510,1.151
0.123606146,-0.0264,0.0098,1.1446,1.145
0.127581927,-0.0210,-0.0020,1.1237,1.124
0.132489583,-0.0361,-0.0254,1.1002,1.101
0.138224375,-0.0405,-0.0405,1.0690,1.070
0.143367917,-0.0630,-0.0488,1.0172,1.020
0.147245208,-0.1055,-0.0386,0.9879,0.994
0.1496825,-0.1279,-0.0244,0.9801,0.989
0.155006042,-0.1797,0.0376,0.9693,0.987
0.159561719,-0.2075,0.1524,0.9552,0.989
0.16433224,-0.2046,0.2827,0.9195,0.984
0.167078021,-0.1865,0.3506,0.8868,0.972
0.171850885,-0.1572,0.4424,0.7789,0.909
0.176612396,-0.1485,0.4493,0.6749,0.824
0.178963802,-0.1524,0.4297,0.6299,0.778
0.1816375,-0.1651,0.3931,0.5997,0.736
0.186291979,-0.1870,0.2886,0.5645,0.661
0.191204063,-0.2051,0.1743,0.5640,0.625
0.193807292,-0.2110,0.1187,0.5645,0.614
0.198265365,-0.2232,0.0303,0.5665,0.610
0.200695469,-0.2368,0.0024,0.5762,0.623
0.203454479,-0.2578,-0.0181,0.5982,0.652
0.205940885,-0.2818,-0.0293,0.6339,0.694
0.210630938,-0.3140,-0.0322,0.6964,0.765
0.214469479,-0.3140,-0.0166,0.7003,0.768
0.218004844,-0.2842,0.0376,0.6881,0.745
0.220524531,-0.2637,0.0469,0.8805,0.920
0.224584792,-0.2241,0.0977,1.3102,1.333
0.227917865,-0.1069,0.1865,0.9439,0.968
0.230378646,-0.0327,0.2017,0.6104,0.644
0.232893177,0.0283,0.2173,0.4566,0.506
0.237877917,0.1660,0.2237,0.4922,0.566
0.240496198,0.2168,0.2256,0.5635,0.645
0.243801823,0.2339,0.2407,0.5963,0.684
0.247671302,0.2520,0.2598,0.6153,0.714
0.252448229,0.2867,0.2490,0.6299,0.736
0.255609635,0.3081,0.2373,0.5972,0.713
0.259891927,0.3702,0.2227,0.5464,0.697
0.264560885,0.3467,0.2051,0.6070,0.729
0.267128229,0.2788,0.2022,0.6651,0.749
0.269535833,0.1812,0.2027,0.7457,0.794
0.27194625,0.0732,0.2080,0.8443,0.873
0.274604167,-0.0342,0.2144,0.9679,0.992
0.278882813,-0.2027,0.2129,1.2433,1.278
0.281494635,-0.2569,0.1914,1.3414,1.379
0.284125156,-0.2906,0.1582,1.3957,1.434
0.286625938,-0.2910,0.1172,1.4196,1.454
0.289280104,-0.2652,0.0772,1.4230,1.450
0.294155833,-0.2022,0.0161,1.4264,1.441
0.29685625,-0.1719,-0.0005,1.4367,1.447
0.301433229,-0.0752,-0.0054,1.3888,1.391
0.303948594,-0.0146,-0.0098,1.3190,1.319
0.30865599,0.0982,-0.0088,1.1442,1.148
0.314797135,0.1655,0.0186,0.9742,0.988
0.318413906,0.2139,0.0835,0.8390,0.870
0.320989219,0.2403,0.1318,0.8023,0.848
0.325068281,0.2686,0.1900,0.7789,0.846
0.328476927,0.3487,0.3072,0.7559,0.887
0.333489167,0.4385,0.3931,0.7081,0.921
0.336015677,0.4742,0.4073,0.6778,0.922
0.339111667,0.4917,0.4014,0.6519,0.910
0.344463021,0.4644,0.3467,0.6495,0.870
0.348011198,0.4297,0.2593,0.6925,0.855
0.352839635,0.3912,0.1846,0.7642,0.878
0.35576099,0.3819,0.1558,0.7906,0.892
0.360150833,0.3941,0.1148,0.8214,0.918
0.363904323,0.4053,0.0991,0.8360,0.934
0.367647865,0.3941,0.0874,0.8731,0.962
0.372474375,0.3521,0.1011,0.8800,0.953
0.374910781,0.3306,0.1177,0.8643,0.933
0.380446198,0.3076,0.1807,0.8243,0.898
0.384362344,0.3589,0.2613,0.7452,0.867
0.386812917,0.4048,0.2901,0.6885,0.850
0.389398698,0.4571,0.3062,0.6500,0.852
0.392043854,0.4805,0.2969,0.6046,0.827
0.397533177,0.5587,0.2139,0.6466,0.881
0.400527083,0.5626,0.1568,0.7022,0.913
0.404303281,0.5811,0.0234,0.7188,0.925
0.408783021,0.4527,-0.0313,0.7506,0.877
0.411451406,0.3892,-0.0332,0.7721,0.865
0.415346042,0.3492,-0.0166,0.7906,0.864
0.418644531,0.3369,0.0386,0.8243,0.891
0.42150401,0.3457,0.0820,0.8429,0.915
0.42533526,0.3887,0.1235,0.8468,0.940
0.428427917,0.5377,0.2168,0.8346,1.016
0.431113229,0.5679,0.2549,0.8175,1.028
0.433719792,0.5967,0.2730,0.8067,1.040
0.439051042,0.6710,0.2564,0.7740,1.056
0.443749583,0.7613,0.2168,0.7315,1.078
0.448224427,0.8248,0.1904,0.6900,1.092
0.450713958,0.8194,0.1861,0.6754,1.078
0.456502083,0.7652,0.1978,0.6778,1.041
0.461514792,0.6749,0.2295,0.7237,1.016
0.465520833,0.6466,0.2398,0.7872,1.047
0.468948958,0.5630,0.2388,0.9107,1.097
0.473704792,0.4522,0.1973,0.9215,1.045
0.477476562,0.4336,0.0806,0.8683,0.974
0.480550417,0.4620,0.0283,0.8409,0.960
0.484627396,0.4913,-0.0132,0.8121,0.949
0.489335781,0.5054,-0.0493,0.7808,0.931
0.492035521,0.5406,0.0146,0.8131,0.976
0.49473151,0.5230,0.0986,0.8375,0.992
0.497789479,0.5557,0.2232,0.8492,1.039
0.501896719,0.6754,0.4444,0.8390,1.165
0.504371094,0.6622,0.3721,0.8463,1.137
0.506822865,0.6021,0.2237,0.8433,1.060
0.509463906,0.5523,0.1338,0.8336,1.009
0.515490937,0.4947,0.1548,0.7828,0.939
0.518776302,0.4576,0.2266,0.7169,0.880
0.524293385,0.5977,0.4878,0.6573,1.014
