time,gFx,gFy,gFz,TgF
8.23698E-4,-0.1441,-0.0855,1.1173,1.130
0.004357604,-0.1611,-0.0820,1.0724,1.088
0.00691349,-0.1475,-0.0259,1.0089,1.020
0.009438438,-0.1333,0.0239,1.0045,1.014
0.014780365,-0.1421,0.0230,1.0191,1.029
0.018948594,-0.1607,-0.0137,1.0353,1.048
0.021412708,-0.1695,-0.0176,1.0372,1.051
0.023915521,-0.1817,-0.0151,1.0406,1.056
0.02632474,-0.1890,-0.0137,1.0426,1.060
0.028780625,-0.1953,-0.0112,1.0445,1.063
0.031361563,-0.2075,-0.0132,1.0436,1.064
0.037655417,-0.2305,-0.0181,1.0348,1.060
0.040994323,-0.2583,-0.0210,1.0401,1.072
0.043430365,-0.2622,-0.0210,1.0450,1.078
0.04619125,-0.2534,-0.0244,1.0318,1.063
0.051094011,-0.2041,-0.0381,0.9479,0.970
0.05560599,-0.2158,0.0146,0.9581,0.982
0.06063625,-0.1768,0.0713,0.9596,0.978
0.065766771,-0.1704,0.0903,1.0128,1.031
0.070742761,-0.1538,0.0903,1.0480,1.063
0.075398021,-0.0913,0.0684,1.0245,1.031
0.07811349,-0.0855,0.0405,1.0338,1.038
0.082630521,-0.1231,0.0308,1.1100,1.117
0.085160729,-0.1421,0.0479,1.1280,1.138
0.087681615,-0.1582,0.0610,1.1324,1.145
0.090243021,-0.1743,0.0674,1.1446,1.160
0.092954948,-0.1983,0.0625,1.1647,1.183
0.097531771,-0.2398,0.0278,1.1910,1.215
0.100317552,-0.2476,0.0098,1.1788,1.205
0.103411406,-0.2427,-0.0059,1.1427,1.168
0.107238125,-0.2334,-0.0298,1.0397,1.066
0.10981974,-0.2251,-0.0278,0.9942,1.020
0.11241,-0.2183,-0.0210,0.9571,0.982
0.116947031,-0.2134,0.0049,0.8849,0.910
0.119707761,-0.2154,0.0186,0.8512,0.878
0.122399167,-0.2154,0.0288,0.8219,0.850
0.126610313,-0.2246,0.0576,0.7789,0.813
0.129161875,-0.2310,0.0762,0.7598,0.798
0.131678229,-0.2349,0.1011,0.7359,0.779
0.134135,-0.2427,0.1284,0.7144,0.765
0.137978229,-0.2598,0.1577,0.7052,0.768
0.141357292,-0.3013,0.2412,0.7535,0.847
0.146286511,-0.3037,0.3145,0.8380,0.945
0.148779688,-0.2935,0.3355,0.8751,0.982
0.151189688,-0.2388,0.3750,0.8922,0.997
0.153683073,-0.1904,0.4034,0.9186,1.021
0.156207292,-0.1533,0.4068,0.9527,1.047
0.158684063,-0.1182,0.3995,0.9850,1.069
0.161608229,-0.0757,0.3907,1.0148,1.090
0.165822708,0.0205,0.3536,1.0362,1.095
0.168411042,0.0601,0.3228,1.0260,1.077
0.17088724,0.0957,0.2901,1.0123,1.057
0.173355781,0.1279,0.2652,1.0001,1.043
0.178611406,0.1509,0.2066,0.9693,1.003
0.183157344,0.1299,0.1621,0.9430,0.966
0.188184219,0.0786,0.1289,0.9039,0.916
0.192834271,0.0210,0.1109,0.8497,0.857
0.195447083,-0.0230,0.1084,0.8336,0.841
0.19775349,-0.0679,0.1069,0.8316,0.841
0.200287135,-0.1060,0.1089,0.8438,0.857
0.203307292,-0.1480,0.1113,0.8663,0.886
0.207335052,-0.2202,0.0991,0.8946,0.927
0.209924427,-0.2495,0.0864,0.8976,0.936
0.212477188,-0.2857,0.0772,0.8873,0.935
0.214984531,-0.3243,0.0742,0.8663,0.928
0.220090469,-0.3619,0.0908,0.8214,0.902
0.224482917,-0.3609,0.1543,0.7784,0.872
0.226981719,-0.3409,0.2154,0.7423,0.845
0.229493333,-0.3174,0.2901,0.7061,0.827
0.232096563,-0.2842,0.3731,0.6700,0.818
0.237995885,-0.2061,0.4854,0.6133,0.809
0.241674948,-0.1387,0.5132,0.6509,0.840
0.244357865,-0.1123,0.5079,0.7364,0.902
0.249006042,-0.0303,0.4385,1.4499,1.515
0.251535208,0.0259,0.3716,1.4889,1.535
0.254075104,0.0591,0.2818,1.1925,1.227
0.259024479,0.1206,0.1475,0.7921,0.815
0.26192526,0.1035,0.1206,0.8307,0.846
0.264632083,0.0689,0.1211,0.9381,0.948
0.268463073,-0.0103,0.1665,1.0021,1.016
0.2711875,-0.0293,0.1914,0.9591,0.978
0.275809479,0.0176,0.2246,0.8683,0.897
0.278494063,0.0601,0.2378,0.8209,0.857
0.281192083,0.1040,0.2500,0.7818,0.827
0.286097448,0.1660,0.2622,0.7296,0.793
0.290910104,0.1548,0.2188,0.6080,0.664
0.295281979,0.1411,0.2110,0.6348,0.684
0.300094115,0.1577,0.1714,0.5748,0.620
0.303375104,0.1973,0.1841,0.5396,0.603
0.307739531,0.2852,0.2588,0.5093,0.639
0.310290729,0.3267,0.3160,0.5225,0.693
0.315095781,0.3897,0.4566,0.6480,0.883
0.318859375,0.3897,0.4693,0.7022,0.930
0.322827083,0.3028,0.3326,0.7222,0.851
0.327133385,0.2071,0.1685,0.8219,0.864
0.329789323,0.1670,0.1231,0.8809,0.905
0.332239688,0.1441,0.1089,0.9278,0.945
0.337930729,0.1450,0.1216,0.9674,0.986
0.341873594,0.2149,0.1563,1.0074,1.042
0.34626151,0.2554,0.1773,1.0519,1.097
0.349288542,0.3218,0.2212,1.1295,1.195
0.351697188,0.3330,0.2417,1.1363,1.209
0.354172031,0.3428,0.2642,1.1407,1.220
0.358918385,0.3130,0.3164,1.1036,1.190
0.36171026,0.2906,0.3448,1.0831,1.173
0.366274323,0.2896,0.3750,1.0279,1.132
0.368804219,0.3291,0.3843,1.0128,1.132
0.371209115,0.3736,0.3936,0.9791,1.119
0.37368599,0.4063,0.4107,0.9640,1.124
0.378500781,0.4869,0.4327,0.9137,1.122
0.383113802,0.5552,0.4703,0.8707,1.135
0.386263854,0.6114,0.4903,0.9098,1.201
0.390992292,0.6382,0.4854,0.8756,1.187
0.395719688,0.6368,0.3985,0.8131,1.107
0.398268177,0.6622,0.3369,0.8165,1.104
0.40078026,0.7257,0.2725,0.8385,1.142
0.405657396,0.6671,0.1953,0.8936,1.132
0.410378646,0.6988,0.1719,1.0206,1.249
0.414995521,0.6734,0.1870,1.0875,1.293
0.417555937,0.6749,0.2027,1.1095,1.314
0.420405365,0.6666,0.2310,1.1158,1.320
0.423294844,0.6671,0.2681,1.1105,1.323
0.428191771,0.6583,0.3042,1.0348,1.264
0.432595729,0.5884,0.2823,0.9542,1.156
0.43858776,0.5005,0.2251,0.8927,1.048
0.442566458,0.4610,0.1924,0.8790,1.011
0.445067187,0.4507,0.1587,0.8746,0.997
0.44763526,0.4541,0.1499,0.8809,1.002
0.451986198,0.4366,0.1528,0.8741,0.989
0.456656771,0.4029,0.1602,0.8756,0.977
0.459146354,0.4043,0.1533,0.8902,0.990
0.461865521,0.4248,0.1431,0.9195,1.023
0.466737552,0.4805,0.1250,0.9776,1.096
0.472361302,0.4791,0.1538,0.9542,1.079
0.476453646,0.4957,0.2149,0.8712,1.025
0.479808906,0.5123,0.2334,0.8424,1.013
0.483687396,0.5186,0.2183,0.8404,1.011
0.487015052,0.5030,0.2051,0.8590,1.016
0.491188229,0.4683,0.2364,0.8614,1.009
0.495723594,0.4512,0.3189,0.7896,0.964
0.500935312,0.4834,0.3233,0.7388,0.940
0.503562031,0.5337,0.2818,0.7506,0.963
0.506256927,0.5831,0.2320,0.7823,1.003
0.511851719,0.6060,0.1729,0.8653,1.070
0.515796667,0.5611,0.1865,0.8980,1.075
0.520414896,0.5411,0.2271,0.9073,1.081
0.525345104,0.5430,0.2442,0.9327,1.107
0.528654792,0.5401,0.2471,0.9288,1.102
0.531113073,0.5445,0.2539,0.9127,1.093
0.534675729,0.5547,0.2886,0.8736,1.074
0.538187344,0.5464,0.3106,0.8541,1.060
0.54267474,0.5499,0.3438,0.8263,1.050
0.545473125,0.5508,0.3487,0.8077,1.038
0.547974323,0.5543,0.3413,0.7852,1.020
0.552286771,0.5699,0.3076,0.7535,0.994
0.557316979,0.5904,0.2935,0.7359,0.988
0.562124375,0.5963,0.3135,0.7384,0.999
0.564777865,0.5923,0.3213,0.7315,0.995
0.56965724,0.6031,0.3413,0.7154,0.996
0.572373125,0.6070,0.3496,0.7037,0.993
0.576416406,0.5963,0.3599,0.6827,0.975
0.579173958,0.5884,0.3536,0.6705,0.960
0.581636667,0.5787,0.3433,0.6529,0.938
0.584358594,0.5679,0.3282,0.6387,0.916
0.586825208,0.5621,0.3106,0.6177,0.891
0.589600208,0.5616,0.2852,0.5836,0.859
0.593704427,0.5381,0.2256,0.5333,0.790
0.596480885,0.5162,0.1851,0.5245,0.759
0.598978073,0.5420,0.1294,0.5264,0.767
0.604190729,0.5850,0.0166,0.5425,0.798
0.609115833,0.5469,-0.0190,0.5640,0.786
0.612218854,0.5416,-0.0640,0.6212,0.827
0.615505625,0.4952,-0.0547,0.6856,0.847
0.618057396,0.4815,-0.0405,0.7125,0.861
0.620717812,0.4825,-0.0220,0.7330,0.878
0.62357125,0.4966,-0.0024,0.7491,0.899
0.625975104,0.5196,0.0210,0.7589,0.920
0.629000156,0.5460,0.0435,0.7662,0.942
0.632838125,0.6109,0.0923,0.7681,0.986
0.637961614,0.6617,0.1177,0.7623,1.016
0.64261651,0.6890,0.1406,0.7423,1.022
0.645395677,0.6861,0.1538,0.7261,1.011
0.650893698,0.6588,0.1792,0.6954,0.974
0.655489583,0.6246,0.1851,0.6607,0.928
0.659705937,0.5997,0.1880,0.6133,0.878
0.663181771,0.5850,0.1900,0.5811,0.846
0.667253489,0.6050,0.1900,0.5108,0.814
0.671927344,0.5792,0.1831,0.4800,0.774
0.676046614,0.5455,0.1773,0.4776,0.746
0.679281823,0.4878,0.1636,0.5054,0.721
0.681819167,0.4864,0.1641,0.5206,0.731
0.6844775,0.5020,0.1724,0.5347,0.753
0.687325312,0.5357,0.1802,0.5333,0.777
0.691723021,0.6104,0.1978,0.5108,0.820
0.696242656,0.7169,0.1988,0.4786,0.885
0.698898437,0.7261,0.1983,0.4737,0.889
0.704188229,0.7432,0.1861,0.4654,0.896
0.706950885,0.7432,0.1734,0.4659,0.894
0.712200104,0.7232,0.1436,0.4571,0.868
0.716001094,0.7149,0.1084,0.4405,0.847
0.718505052,0.7169,0.0913,0.4170,0.834
0.720967656,0.7242,0.0757,0.3980,0.830
0.723495312,0.7496,0.0542,0.3814,0.843
0.726237604,0.8258,0.0098,0.3550,0.899
0.729019583,1.0065,-0.0747,0.3482,1.068
0.733077552,1.2003,-0.0859,0.3404,1.251
0.738391302,1.1627,0.0347,0.3184,1.206
0.743188229,1.0714,0.1538,0.3096,1.126
0.745701927,1.0235,0.2027,0.3247,1.093
0.750471979,0.9293,0.2832,0.3819,1.044
0.75599901,0.8888,0.3448,0.3995,1.034
0.760270312,0.8824,0.3638,0.3628,1.021
0.765118854,0.9059,0.3208,0.3130,1.011
0.770630937,0.9645,0.2227,0.2593,1.023
0.774497135,1.0255,0.1377,0.2569,1.066
0.777497604,1.0475,0.0996,0.2744,1.087
0.780628854,1.0655,0.0850,0.3013,1.111
0.783575937,1.0709,0.0664,0.3296,1.122
0.789891406,1.0694,0.0474,0.3467,1.125
0.795409635,1.0104,0.0195,0.3184,1.060
0.79907625,0.9840,0.0342,0.2945,1.028
0.802608229,0.9772,0.0410,0.2788,1.017
0.805055156,0.9781,0.0483,0.2637,1.014
0.809976042,0.9981,0.0562,0.2574,1.032
0.81412151,1.1114,0.0762,0.2564,1.143
0.818423802,1.1945,0.0820,0.2808,1.230
0.821725312,1.2277,0.0879,0.2959,1.266
0.826205156,1.2736,0.0840,0.3223,1.316
0.830881146,1.3068,0.0942,0.3243,1.350
0.835726042,1.3551,0.1270,0.2818,1.390
0.838159739,1.3678,0.1655,0.2564,1.401
0.842618437,1.4123,0.2754,0.1914,1.452
0.845267135,1.4103,0.2803,0.1602,1.447
0.850342239,1.3405,0.2002,0.1397,1.363
0.854859531,1.3107,0.2149,0.0908,1.331
0.857355521,1.3112,0.2344,0.0693,1.334
0.862674479,1.3058,0.2554,0.0122,1.331
0.866663125,1.2892,0.2486,0.0015,1.313
0.870509114,1.2242,0.1704,-0.0142,1.236
0.874285677,1.1617,0.0698,-0.0400,1.165
0.876744844,1.1495,0.0425,-0.0562,1.152
0.879304583,1.1476,0.0576,-0.0161,1.149
0.882428385,1.1417,0.0557,-0.0176,1.143
0.887053333,1.0611,0.0547,0.1978,1.081
0.891663333,0.8355,-0.3355,0.3174,0.955
0.898329114,0.8565,-0.2114,0.3286,0.941
0.901367083,1.0143,0.0938,0.0200,1.019
0.904228958,1.0768,0.1983,-0.1060,1.100
0.908584271,1.1105,0.2793,-0.1333,1.153
0.911085416,1.1134,0.2720,-0.1426,1.155
0.913791719,1.1300,0.2813,-0.1631,1.176
0.916223125,1.1715,0.3042,-0.2334,1.233
0.921270416,1.2667,0.3389,-0.3350,1.353
0.924596562,1.2755,0.3789,-0.3057,1.365
0.928786771,1.2872,0.3775,-0.3741,1.393
0.931319427,1.2701,0.3111,-0.3853,1.363
0.938363489,1.2306,0.1597,-0.3086,1.279
0.942961875,1.1163,0.0654,-0.1792,1.133
0.945644166,1.0587,0.0190,-0.1152,1.065
0.948343177,1.0016,-0.0200,-0.0523,1.003
0.952798802,0.8819,-0.0610,0.0762,0.887
0.955341562,0.8473,-0.0571,0.1104,0.856
0.960357187,0.7808,-0.0396,0.2271,0.814
0.965067448,0.6998,-0.0234,0.3174,0.769
0.967559479,0.6861,0.0039,0.2657,0.736
0.9707325,0.7174,0.0459,0.1143,0.728
0.975285104,0.7877,0.0908,-0.0337,0.794
0.979107396,0.8556,0.1182,-0.1299,0.873
0.982150729,1.0206,0.2031,-0.3272,1.091
0.984636614,1.0748,0.2276,-0.3584,1.156
0.987605677,1.1232,0.2442,-0.3540,1.203
0.99185875,1.1984,0.2696,-0.3584,1.280
0.994371041,1.2086,0.2510,-0.3340,1.279
0.999238541,1.2032,0.1919,-0.2998,1.255
1.002010885,1.2052,0.1841,-0.2993,1.255
1.006629531,1.1715,0.1553,-0.2969,1.218
1.009884114,1.0958,0.1045,-0.1880,1.117
1.014749166,1.0104,0.0186,-0.2720,1.046
1.019106562,0.9581,0.0142,-0.2959,1.003
1.021684062,0.9225,-0.0142,-0.1846,0.941
1.024152187,0.9078,-0.0435,-0.0942,0.914
1.026962656,0.8673,-0.0088,-0.2124,0.893
1.031532135,0.8751,-0.0137,-0.2456,0.909
1.035849948,0.8028,-0.0313,-0.0796,0.807
1.038664635,0.8204,-0.0103,-0.1314,0.831
1.043814219,0.8673,0.0059,-0.2110,0.893
1.048511146,0.9293,0.0239,-0.2715,0.968
1.054320469,0.9356,0.0200,-0.2139,0.960
1.058027187,0.8502,0.0024,-0.0781,0.854
1.062801406,0.9063,0.0415,-0.2412,0.939
1.065274896,0.9303,0.0645,-0.3135,0.984
1.06785026,0.9508,0.0859,-0.4019,1.036
1.070996458,0.9493,0.0957,-0.4610,1.060
1.075252187,0.9244,0.0938,-0.5108,1.060
1.079978593,0.9249,0.0903,-0.4981,1.054
1.082400885,0.9161,0.0869,-0.4893,1.042
1.084824427,0.8966,0.0864,-0.5010,1.031
1.087703593,0.8521,0.0830,-0.5342,1.009
1.092398021,0.8004,0.0186,-0.7345,1.086
1.094821875,0.7970,0.0068,-0.7750,1.112
1.09955901,0.7887,0.0098,-0.7867,1.114
1.102287187,0.7945,0.0215,-0.7442,1.089
1.106873698,0.7862,0.0093,-0.6563,1.024
1.10942776,0.7930,0.0146,-0.5718,0.978
1.112196093,0.8101,0.0293,-0.5069,0.956
1.116732291,0.8477,0.0659,-0.4107,0.944
1.119258021,0.8590,0.0669,-0.3609,0.934
1.12401526,0.8673,0.0649,-0.2525,0.906
1.126548021,0.8795,0.0689,-0.2046,0.906
1.129969114,0.8917,0.0679,-0.1626,0.909
1.133837031,0.8932,0.0576,-0.0845,0.899
1.136275677,0.8624,0.0601,-0.1314,0.874
1.139843021,0.8087,0.0610,-0.1934,0.834
1.144873125,0.7281,0.0684,-0.3545,0.813
1.148468489,0.7022,0.0996,-0.5298,0.885
1.151033333,0.7159,0.1104,-0.5508,0.910
1.174480573,0.7369,0.1187,-0.5850,0.948
1.183456093,0.7667,0.1177,-0.9737,1.245
1.193744062,0.7808,0.0796,-1.0001,1.271
1.205752031,0.8912,0.0479,-0.8297,1.219
1.268291718,0.8663,-0.0444,-0.6768,1.100
1.275501198,0.9547,-0.1553,-0.5665,1.121
1.278774948,0.8204,-0.1577,-0.6524,1.060
1.281612343,0.7506,-0.1387,-0.6807,1.023
1.285796198,0.6988,-0.1328,-0.6939,0.994
1.288322864,0.6846,-0.1353,-0.6890,0.981
1.293346093,0.6759,-0.1416,-0.6812,0.970
1.297670468,0.6138,-0.1348,-0.6998,0.941
1.300148437,0.5855,-0.1270,-0.7120,0.931
1.304871198,0.5484,-0.1201,-0.7330,0.923
1.307479739,0.5284,-0.1109,-0.7203,0.900
1.310003541,0.5103,-0.1030,-0.6949,0.868
1.31252776,0.4913,-0.1030,-0.6671,0.835
1.317318645,0.4449,-0.1167,-0.6212,0.773
1.322064583,0.3799,-0.1250,-0.6109,0.730
1.324523125,0.3409,-0.1201,-0.6153,0.714
1.327553698,0.3091,-0.1065,-0.6187,0.700
1.332451458,0.2744,-0.0557,-0.6378,0.697
1.335188698,0.2652,-0.0303,-0.6646,0.716
1.339770416,0.2095,0.0063,-0.7813,0.809
1.344401875,0.1318,0.0254,-0.8961,0.906
1.349155625,0.1050,0.0425,-0.9625,0.969
1.352181198,0.0977,0.0454,-1.0069,1.013
1.356583229,0.1148,0.0513,-1.0709,1.078
1.35979052,0.0947,0.0381,-1.1349,1.139
1.364564479,0.1465,0.0527,-1.0909,1.102
1.381802291,0.2134,0.0674,-1.1227,1.145
1.384921823,0.2266,-0.0205,-0.5118,0.560
1.388406302,0.6544,-0.0044,-0.2031,0.685
1.393308489,0.8819,-0.0181,-0.2437,0.915
1.395978802,1.0196,-0.0332,-0.2134,1.042
1.406188437,1.3200,-0.0264,-0.3877,1.376
1.410425885,1.3341,0.0181,-0.4849,1.420
1.41593776,1.4147,0.0376,-0.7081,1.582
1.420139791,1.4513,0.0420,-0.7965,1.656
1.422321145,1.4474,-0.0088,-0.7305,1.621
1.427659895,1.4577,-0.0703,-0.6509,1.598
1.4321175,1.6530,-0.2036,-0.4239,1.719
1.437070104,1.7331,-0.2466,-0.3897,1.793
1.439537812,1.6916,-0.2637,-0.4351,1.766
1.444572343,1.4787,-0.2906,-0.6202,1.630
1.447739687,1.3253,-0.3047,-0.7032,1.531
1.451713125,1.0011,-0.3042,-0.9083,1.386
1.454343437,0.8497,-0.3111,-0.9562,1.316
1.458822604,0.5865,-0.3203,-0.9776,1.184
1.46160677,0.5132,-0.3238,-0.9679,1.142
1.467179687,0.4986,-0.3326,-0.9356,1.111
1.471485625,0.6129,-0.3526,-0.8629,1.116
1.477465416,0.6524,-0.3848,-0.8541,1.142
1.484129583,0.6773,-0.4537,-0.8131,1.151
1.488398437,0.6016,-0.5694,-0.7413,1.112
1.49115552,0.5665,-0.5894,-0.7252,1.093
1.494586614,0.5416,-0.5919,-0.7203,1.078
1.498459375,0.5040,-0.5621,-0.7423,1.059
1.503369166,0.5318,-0.5215,-0.6363,0.980
1.508281927,0.5391,-0.4620,-0.4673,0.850
1.512852968,0.5391,-0.3413,-0.4170,0.762
1.515250416,0.5499,-0.2857,-0.3633,0.718
1.517734531,0.5572,-0.2344,-0.3843,0.716
1.520880208,0.5499,-0.1944,-0.4371,0.729
1.524408489,0.5328,-0.1577,-0.4966,0.745
1.527142447,0.4786,-0.1362,-0.5167,0.717
1.532798802,0.4468,-0.1094,-0.5503,0.717
1.537862239,0.2764,-0.1226,-1.0509,1.094
1.543350104,0.2637,0.0762,-1.4694,1.495
1.547145364,0.3706,0.0645,-1.4772,1.524
1.549877708,0.4239,-0.0298,-1.4250,1.487
1.554430625,0.4141,-0.1563,-1.2960,1.370
1.557665833,0.4537,-0.1660,-1.2487,1.339
1.561703541,0.4917,-0.1431,-0.9889,1.114
1.564358281,0.4942,-0.1563,-0.8433,0.990
1.570645989,0.5596,-0.1651,-0.6778,0.894
1.573857395,0.6339,-0.1763,-0.6490,0.924
1.579504479,0.6339,-0.1763,-0.6490,0.924
1.58225375,0.8448,-0.3404,-0.6124,1.098
1.586244531,0.9542,-0.4649,-0.6065,1.222
1.588717656,1.0592,-0.5411,-0.7115,1.386
1.591325937,1.0533,-0.5958,-0.8863,1.500
1.59392151,0.8888,-0.5557,-0.9737,1.431
1.600024062,0.5284,-0.4317,-0.9513,1.171
1.604447135,0.4576,-0.3780,-0.7921,0.990
1.608609739,0.5015,-0.4600,-0.6627,0.950
1.611750833,0.5440,-0.4546,-0.7398,1.025
1.617685937,0.4849,-0.5015,-0.8018,1.063
1.621235416,0.3340,-0.7955,-0.5606,1.029
