time,gFx,gFy,gFz,TgF
0.001014688,0.1255,0.0772,0.9493,0.961
0.006584115,0.1299,0.0630,0.9283,0.939
0.010144323,0.1284,0.0601,0.9254,0.936
0.012531875,0.1270,0.0601,0.9298,0.940
0.014980886,0.1231,0.0586,0.9395,0.949
0.017438542,0.1192,0.0596,0.9508,0.960
0.020007344,0.1143,0.0615,0.9654,0.974
0.022518386,0.1069,0.0625,0.9801,0.988
0.027111563,0.0991,0.0615,1.0084,1.015
0.031982396,0.0918,0.0581,1.0333,1.039
0.037061927,0.0859,0.0620,1.0509,1.056
0.040011459,0.0811,0.0610,1.0563,1.061
0.044580209,0.0762,0.0625,1.0587,1.063
0.047576771,0.0781,0.0625,1.0533,1.058
0.051736407,0.0840,0.0591,1.0426,1.048
0.054378334,0.0845,0.0581,1.0397,1.045
0.057911198,0.0874,0.0596,1.0358,1.041
0.061531927,0.0908,0.0527,1.0270,1.032
0.064333646,0.0889,0.0513,1.0231,1.028
0.068789792,0.0879,0.0469,1.0157,1.021
0.071359219,0.0982,0.0425,1.0074,1.013
0.074527604,0.1353,0.0327,0.9903,1.000
0.07861849,0.1192,0.0430,1.0055,1.013
0.081164063,0.0967,0.0566,1.0362,1.042
0.083631771,0.0742,0.0630,1.0626,1.067
0.086362448,0.0640,0.0625,1.0826,1.086
0.089280417,0.0630,0.0635,1.0919,1.096
0.093358959,0.0718,0.0425,1.0777,1.081
0.095813907,0.0772,0.0308,1.0675,1.071
0.098494688,0.0757,0.0259,1.0709,1.074
0.100921094,0.0698,0.0234,1.0782,1.081
0.10334849,0.0645,0.0181,1.0860,1.088
0.106046302,0.0610,0.0122,1.0934,1.095
0.110375469,0.0479,0.0005,1.0968,1.098
0.115258334,0.0342,-0.0146,1.0968,1.097
0.118222292,0.0293,-0.0171,1.0929,1.093
0.122739479,0.0190,-0.0220,1.0900,1.090
0.125286511,0.0146,-0.0161,1.0885,1.089
0.132170886,0.0112,-0.0049,1.0890,1.089
0.135173594,0.0034,0.0063,1.0880,1.088
0.14089125,-0.0054,0.0156,1.0841,1.084
0.144885365,-0.0059,0.0176,1.0792,1.079
0.147352761,-0.0039,0.0127,1.0753,1.075
0.151826511,-0.0020,0.0010,1.0592,1.059
0.154495625,-0.0029,-0.0068,1.0528,1.053
0.157082136,-0.0024,-0.0181,1.0460,1.046
0.161615261,-0.0107,-0.0415,1.0235,1.024
0.164333073,-0.0146,-0.0518,1.0084,1.010
0.169082552,-0.0200,-0.0703,0.9874,0.990
0.174032396,-0.0225,-0.0899,0.9742,0.979
0.178822813,-0.0234,-0.1113,0.9659,0.973
0.18133599,-0.0239,-0.1192,0.9601,0.968
0.184070573,-0.0259,-0.1240,0.9542,0.963
0.189474375,-0.0269,-0.1284,0.9571,0.966
0.193631302,-0.0273,-0.1221,0.9679,0.976
0.196202813,-0.0278,-0.1177,0.9752,0.983
0.198760886,-0.0293,-0.1133,0.9825,0.989
0.203421406,-0.0322,-0.1045,1.0006,1.007
0.207190156,-0.0356,-0.0982,1.0104,1.016
0.210568177,-0.0381,-0.0840,1.0382,1.042
0.213382188,-0.0396,-0.0781,1.0519,1.056
0.21601474,-0.0415,-0.0723,1.0680,1.071
0.218889271,-0.0474,-0.0630,1.0841,1.087
0.223138177,-0.0532,-0.0435,1.1241,1.126
0.226010625,-0.0513,-0.0327,1.1544,1.156
0.231182188,-0.0728,-0.0103,1.2892,1.291
0.235039115,-0.0571,0.0083,1.3151,1.316
0.240006146,-0.0293,0.0386,1.3097,1.311
0.246595521,-0.0200,0.0586,1.3414,1.343
0.249731302,0.0669,0.1006,1.3522,1.358
0.252553802,0.1065,0.1265,1.2980,1.308
0.257363646,0.1753,0.2163,1.1549,1.188
0.262044688,0.2119,0.3501,0.9547,1.039
0.264587084,0.2075,0.4136,0.8536,0.971
0.268892292,0.1333,0.4800,0.7940,0.937
0.27158599,0.0938,0.4903,0.8272,0.966
0.276599948,0.0586,0.4800,0.9015,1.023
0.281748125,0.0679,0.4200,0.9723,1.061
0.28657724,0.0493,0.3413,1.0231,1.080
0.289296302,0.0396,0.2920,1.0353,1.076
0.293638646,0.0327,0.1865,1.0123,1.030
0.296156354,0.0283,0.1328,0.9859,0.995
0.298614167,0.0142,0.0928,0.9620,0.967
0.301171979,-0.0039,0.0723,0.9347,0.937
0.303651094,-0.0015,0.0576,0.8639,0.866
0.306088229,-0.0073,0.0576,0.7862,0.788
0.308542188,-0.0103,0.0615,0.7276,0.730
0.313404479,-0.0225,0.0913,0.6324,0.639
