time,gFx,gFy,gFz,TgF
8.33698E-4,0.1421,0.0840,1.2443,1.255
0.006454218,0.1016,0.0728,1.2448,1.251
0.008904843,0.0894,0.0596,1.2501,1.255
0.012679843,0.0879,0.0523,1.2511,1.255
0.016024895,0.0894,0.0391,1.2477,1.251
0.021079583,0.0923,0.0356,1.2316,1.236
0.023666666,0.0894,0.0386,1.2213,1.225
0.028329375,0.0732,0.0396,1.2081,1.211
0.033247864,0.0610,0.0459,1.2174,1.220
0.035922239,0.0576,0.0454,1.2228,1.225
0.042125052,0.0527,0.0483,1.2360,1.238
0.045668593,0.0547,0.0493,1.2335,1.236
0.048145052,0.0527,0.0518,1.2316,1.234
0.050554635,0.0459,0.0552,1.2350,1.237
0.054623541,0.0420,0.0601,1.2438,1.246
0.057794479,0.0562,0.0728,1.2643,1.268
0.060237604,0.0679,0.0772,1.2721,1.276
0.062959114,0.0742,0.0801,1.2789,1.284
0.067566562,0.0806,0.0913,1.2931,1.299
0.070560625,0.0786,0.0962,1.2897,1.296
0.075044427,0.0649,0.1021,1.2692,1.275
0.078694791,0.0581,0.1094,1.2711,1.277
0.082692135,0.0444,0.1221,1.2545,1.261
0.08779875,0.0288,0.1475,1.2228,1.232
0.090187031,0.0205,0.1631,1.2150,1.226
0.095270416,-0.0093,0.1983,1.1984,1.215
0.09899802,-0.0317,0.2471,1.2135,1.239
0.102119166,-0.0166,0.2730,1.2120,1.243
0.106667395,0.1211,0.3174,1.1578,1.207
0.109121614,0.1695,0.3062,1.1183,1.172
0.112091145,0.2295,0.2862,1.0406,1.103
0.117664791,0.2593,0.2920,0.9581,1.035
0.121653125,0.2383,0.2876,0.8741,0.951
0.126207552,0.2378,0.2759,0.7594,0.842
0.12868177,0.2456,0.2705,0.6929,0.783
0.133202083,0.2598,0.2461,0.5552,0.661
0.137121197,0.2637,0.2212,0.4751,0.587
0.141098697,0.2144,0.1651,0.3311,0.428
0.14589526,0.1455,0.1235,0.2295,0.299
0.148545572,0.1143,0.1001,0.1836,0.238
0.154965312,0.0400,0.0659,0.1055,0.131
0.158212864,-0.0674,0.0640,0.0845,0.126
0.164666406,-0.1304,0.0781,0.0986,0.181
0.168825468,-0.2906,0.1763,0.1172,0.359
0.173483645,-0.3579,0.2627,0.1861,0.481
0.177316666,-0.3482,0.2989,0.2823,0.539
0.179880885,-0.3365,0.2857,0.3409,0.558
0.18263526,-0.3291,0.2598,0.4366,0.605
0.187403593,-0.4009,0.2569,1.4743,1.549
0.189821562,-0.4522,0.2632,1.5050,1.593
0.192560364,-0.4512,0.2183,1.0372,1.152
0.195588333,-0.4024,0.1670,0.7359,0.855
0.199939479,-0.2647,0.1201,0.6861,0.745
